cointegration_regime,nobs,total_pnl,annualized_pnl,annualized_vol,sharpe,avg_abs_position,annual_turnover,hit_ratio
strong,100,-86384.81053117177,-217689.72253855283,1029975.5919857152,-0.2113542536662092,0.76,2.52,0.4
moderate,290,-441934.3976584554,-384025.75244803715,1851740.692004177,-0.20738635496117883,0.7724137931034483,3.4758620689655175,0.3586206896551724
weak,292,-865951.2597849218,-747327.7995404119,1507185.2054928613,-0.4958433753309235,0.6815068493150684,11.21917808219178,0.3356164383561644
none,2320,3645198.257795597,395943.9486915907,1807593.4825002553,0.21904479769639507,0.5995689655172414,9.01551724137931,0.30603448275862066
