period,gross_pnl,carry_rolldown_pnl,market_move_pnl,transaction_cost,net_pnl,carry_share_gross,market_share_gross,cost_share_gross
2010-2014: early sample,-526558.0706007353,-273341.3511743929,-253216.7194263425,55000.0,-581558.0706007353,0.5191096033577939,0.4808903966422064,-0.10445191721637093
2015-2019: disinflation and easing,6536760.201301783,-213422.0108562018,6750182.212157983,280000.0,6256760.201301783,-0.032649508974445664,1.0326495089744454,0.04283467518729516
2020-2021: pandemic shock,-2339546.4169942066,-818806.703236887,-1520739.7137573184,55000.0,-2394546.4169942066,0.34998523529568193,0.6500147647043175,-0.023508830429901317
2022-2023: post-pandemic hiking,2783422.537340885,155198.13399803263,2628224.403342853,100000.0,2683422.537340885,0.055758021614030484,0.9442419783859697,0.03592699227603941
2024-2026: fiscal / term-premium instability,-3698150.4612266785,150682.66179878445,-3848833.123025463,15000.0,-3713150.4612266785,-0.04074541135592491,1.040745411355925,-0.004056081589234336
