year,total_net_pnl_bp,total_gross_pnl_bp,annualized_mean_bp,annualized_vol_bp,avg_abs_position,avg_daily_turnover,active_days_pct,sharpe
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2013,-10.586585611872497,-8.80792670137626,-10.75733699270915,17.942814483986183,0.07038297709156295,0.0071720117358719205,0.7137096774193549,-0.5995345380352667
2014,-20.712869417300215,-17.773636891824854,-21.04694795628893,15.505867602093712,0.05043491297141221,0.011851744054336137,0.5766129032258065,-1.3573537770596609
2015,-5.818295123422697,-5.498817970134075,-5.960204760579349,9.277090773270194,0.008542537144707023,0.0012986876149944004,0.08130081300813008,-0.6424648530714294
2016,-14.121260030552442,-13.115741416535474,-14.291395693571141,24.263382305677204,0.06048873331225216,0.0040382273655299875,0.7831325301204819,-0.58901086062627
2017,-13.718394185906591,-13.110492335562139,-14.052989166050656,11.909663002304294,0.04318740960451358,0.002471145733107529,0.36585365853658536,-1.1799653074425087
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020,-7.006056645740172,-5.94184487360127,-7.090466966773185,7.406773700974305,0.014959656208577218,0.004273942859995585,0.20883534136546184,-0.9572949374490122
2021,-32.24159115104096,-30.80023802681238,-32.89425493952356,20.229132257152163,0.05913589912382493,0.005835437749913264,0.5587044534412956,-1.6260833396792662
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2024,-8.698310714273411,-7.9138301144647825,-8.732965338633063,13.327644278167316,0.03449366369991594,0.0031254207163690317,0.450199203187251,-0.655251982748292
2025,-6.4566119943853355,-5.986303759227805,-6.508264890340418,5.09409018275566,0.00967407467200231,0.0018812329406301196,0.168,-1.277610850387371
2026,-0.5284143739732738,-0.3940748736691383,-3.0967540056108143,2.779504440134663,0.01042518627337881,0.0031241744256775695,0.2558139534883721,-1.1141388950113642
