spec,nobs,r2,beta_main,tstat_main,beta_control,tstat_control
Main factor only,4009,0.228131319635286,0.7648934153410725,9.336199624519683,,
Main factor + activity control,4009,0.40441291673577695,0.8038960528291089,12.487910689911974,-0.6735058817124522,-8.067800108844871
