entry_z,exit_z,nobs,annualized_pnl,annualized_vol,sharpe,max_drawdown,annual_turnover
1.25,0.25,3252,0.17442613869461981,1.6946184760932388,0.10292944468346679,-4.240165113730244,7.824162311712266
1.25,0.0,3252,0.18282504750851386,1.7787946152955691,0.10278030186083915,-4.396717262944996,5.964955425760836
1.25,0.5,3252,0.009249205246584319,1.6192159264988375,0.005712150612663183,-5.75732213319291,9.993237011988933
1.5,0.0,3252,-0.006989225796222199,1.7257433536107933,-0.0040499798429462636,-4.217794683470544,4.725484168459883
1.5,0.25,3252,-0.014813490631065015,1.608570528812068,-0.009209102346295505,-4.156535524458336,5.655087611435598
1.0,0.25,3252,-0.018614337294638475,1.7699047298004063,-0.010517140827539136,-5.086373255289255,10.45803873347679
1.0,0.5,3252,-0.03986929411249898,1.6853361713110344,-0.023656582461814957,-5.830452167089975,15.260989855517984
1.0,0.0,3252,-0.06771814592143274,1.8422349755017953,-0.03675869084126329,-5.049542993898574,7.359360590224409
1.5,0.5,3252,-0.08018425469106065,1.5452007498248381,-0.05189245132074278,-4.810598119815433,7.359360590224409
1.75,0.5,3252,-0.13879693374318527,1.4910938961896416,-0.09308396613913353,-5.716680157011977,5.190285889947741
1.75,0.25,3252,-0.145258429948444,1.5433396685359353,-0.09411954666223354,-4.947441585699181,3.9508146326467877
0.75,0.25,3252,-0.22757204164210934,1.8380328263692614,-0.12381282770212616,-7.1346977451915805,14.951122041192745
0.75,0.5,3252,-0.24281180823140464,1.765666312123281,-0.13751851443516197,-8.01275143152247,23.00768521364894
1.75,0.0,3252,-0.24859764660088202,1.66183361096032,-0.1495923809467456,-5.504729194169991,3.48601291115893
0.75,0.0,3252,-0.28456320394525475,1.8949131824209777,-0.1501721591179662,-7.0412480462615825,9.993237011988933
