factor,factor_z,horizon_days,nobs,alpha,beta,tstat_beta,pvalue_beta,r2
Inflation expectations gap,Inflation expectations gap (z),5,4004,0.0005207172979884015,-0.002218421502803836,-0.22534677795951788,0.8217095117998231,5.966226429676702e-05
Inflation expectations gap,Inflation expectations gap (z),21,3988,0.0035346675194558607,-0.006541392299828676,-0.17421025806164298,0.8617002240438651,0.00013823261195133885
Inflation expectations gap,Inflation expectations gap (z),63,3946,0.01163533460731728,-0.04007071088558534,-0.46262841907858687,0.643630734570761,0.0018711570687370838
Inflation persistence gap,Inflation persistence gap (z),5,4004,0.0005227060916560497,0.002663521765022589,0.28126955223988753,0.7785036617936629,8.599237845874352e-05
Inflation persistence gap,Inflation persistence gap (z),21,3988,0.003588383014906304,0.013173869270156943,0.3921093230080708,0.6949774392397405,0.0005603154698774482
Inflation persistence gap,Inflation persistence gap (z),63,3946,0.01276652421370517,0.07809414192202548,1.124146338841641,0.2609509497137281,0.007075404747918013
