cycle,start_date,end_date,cycle_type,nobs,total_pnl,mean_daily_pnl,vol_daily_pnl,annualized_pnl,annualized_vol,sharpe,max_drawdown,avg_abs_position,annual_turnover,hit_ratio
2011-2013: easing,2011-09-01,2013-04-17,easing,57,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2013-2016: tightening,2013-04-18,2016-10-19,tightening,870,1644973.4310012977,1890.7740586221812,104549.90430795698,476475.0627727897,1659678.2783667282,0.2870888105143388,-2521352.556816737,0.4574712643678161,9.848275862068965,0.23218390804597702
2016-2021: easing,2016-10-20,2021-03-17,easing,1086,2407371.1880613305,2216.7322173677076,111414.1842163933,558616.5187766623,1768645.3437702865,0.31584428203442916,-3627950.7423979715,0.5773480662983426,9.049723756906078,0.2974217311233886
2021-2023: tightening,2021-03-18,2023-08-02,tightening,594,1189634.302422702,2002.7513508799698,111935.47527542686,504693.34042175236,1776920.5827875922,0.2840269538833306,-3810888.451506168,0.5740740740740741,9.757575757575758,0.29124579124579125
2023-2024: easing,2023-08-03,2024-09-18,easing,283,-944867.6173350222,-3338.7548315725167,89117.84964131954,-841366.2175562741,1414702.0051666694,-0.594730349206758,-2319214.426212304,0.6537102473498233,2.6713780918727914,0.2862190812720848
2024-2026: tightening,2024-09-19,2026-03-05,tightening,362,-2046183.5143292595,-5652.440647318396,110237.25882699549,-1424415.043124236,1749962.2324181397,-0.813969019866186,-4240165.113730245,0.93646408839779,1.3922651933701657,0.47790055248618785
