metric,value
Total net PnL (bp),-119.8883892484676
Annualized mean (bp),-7.537892737179101
Annualized vol (bp),11.254201259115938
Sharpe,-0.6697847820229255
Max drawdown (bp),-133.56066060257294
Average absolute position,0.021852414810833658
Average daily turnover,0.002630452054192918
Active days (%),0.2446994262908456
Hit ratio on active days,0.49133537206931704
