period,start_date,end_date,nobs,total_pnl,mean_daily_pnl,vol_daily_pnl,annualized_pnl,annualized_vol,sharpe,max_drawdown,avg_abs_position,annual_turnover,hit_ratio
2010-2014: early sample,2013-01-22,2014-12-30,481,-581558.0706007354,-1209.0604378393666,74543.25917451849,-304683.2303355204,1183337.5541520594,-0.25747786780404036,-1732614.5548983424,0.3008298755186722,5.75103734439834,0.14137214137214138
2015-2019: disinflation and easing,2015-01-02,2019-12-30,1233,6256760.201301783,5074.420276805988,104331.5093179984,1278753.9097551089,1656211.3653806509,0.7720958426469982,-2521352.556816737,0.6212489862124899,11.445255474452553,0.32441200324412
2020-2021: pandemic shock,2020-01-02,2021-12-30,496,-2394546.4169942066,-4827.714550391545,147425.91901498937,-1216584.0666986695,2340313.9111128617,-0.5198379845207012,-3627950.7423979715,0.5544354838709677,5.588709677419355,0.26814516129032256
2022-2023: post-pandemic hiking,2022-01-03,2023-12-28,498,2683422.537340885,5388.398669359207,91298.01301956268,1357876.46467852,1449311.0258646002,0.9369117052486826,-3810888.451506168,0.5120481927710844,10.120481927710843,0.26907630522088355
2024-2026: fiscal / term-premium instability,2024-01-02,2026-03-05,544,-3713150.4612266785,-6825.6442301961,104999.87314533096,-1720062.3460094172,1666821.3122152507,-1.031941656495505,-4240165.113730245,0.8253676470588235,1.3897058823529413,0.39889705882352944
