horizon_days,nobs,beta_main,tstat_main,beta_control,tstat_control,r2
5,4004,-0.0024670989615278287,-0.2506536126960887,0.004336590545061632,0.49753352928355155,0.00028566958158182665
21,3988,-0.007714413134254012,-0.20727398146405043,0.021918055097074857,0.6902078273440053,0.0016518956562306952
63,3946,-0.042264233153342524,-0.4945609884988786,0.049524512296962794,0.5790243204034148,0.004535513902967581
