horizon_days,nobs,beta,tstat_beta,pvalue_beta,r2
5,4004,-0.002218421502803836,-0.22534677795951788,0.8217095117998231,5.966226429676702e-05
21,3988,-0.006541392299828676,-0.17421025806164298,0.8617002240438651,0.00013823261195133885
63,3946,-0.04007071088558534,-0.46262841907858687,0.643630734570761,0.0018711570687370838
