factor,horizon_weeks,nobs,alpha,beta,tstat_beta,pvalue_beta,r2
Inflation expectations gap,1,843,0.0004853171033310623,-0.005192968633634378,-0.4785327825208425,0.6322710471996228,0.00033261212398960627
Inflation expectations gap,4,840,0.002940957604685369,-0.011248368705930014,-0.3238124555424131,0.7460800256956324,0.0004643322489407131
Inflation expectations gap,12,832,0.010324663455575681,-0.03334400430209261,-0.4087255955472288,0.6827410479355975,0.0013856207369679074
Inflation persistence gap,1,843,0.00048659108148962384,0.0005284175590081867,0.05145535747721479,0.9589626742688719,3.443443131079249e-06
Inflation persistence gap,4,840,0.0029769203905623395,0.005219731704429855,0.1655584089744111,0.8685044803276402,9.996443709292535e-05
Inflation persistence gap,12,832,0.011119572000690968,0.06160178511840077,0.9139444068944645,0.3607460581579732,0.00471508061262238
