transaction_cost_bp,n_days,total_net_pnl_bp,annualized_mean_bp,annualized_vol_bp,sharpe,max_drawdown_bp,avg_daily_turnover,active_days_pct
0.0,4008,-109.34290696320816,-6.874853431818477,11.23516671040889,-0.6119048883759977,-124.14427026847544,0.002630452054192918,0.2446994262908456
0.5,4008,-114.61564810583789,-7.20637308449879,11.243961386958562,-0.6409105151194476,-128.85246543552418,0.002630452054192918,0.2446994262908456
1.0,4008,-119.8883892484676,-7.537892737179101,11.254201259115938,-0.6697847820229255,-133.56066060257294,0.002630452054192918,0.2446994262908456
2.0,4008,-130.433871533727,-8.200932042539723,11.279000290133881,-0.7270974227843005,-142.9770509366705,0.002630452054192918,0.2446994262908456
3.0,4008,-140.9793538189864,-8.863971347900343,11.309525883216349,-0.7837615333684963,-152.5517006592402,0.002630452054192918,0.2446994262908456
