min_abs_factor_z,n_days,total_net_pnl_bp,annualized_mean_bp,annualized_vol_bp,sharpe,max_drawdown_bp,avg_daily_turnover,active_days_pct
0.0,4008,-115.02942300911955,-7.23238887183087,11.283806652106014,-0.6409529243822176,-128.35192682430596,0.002566599850931935,0.27463207782489396
0.25,4008,-119.8883892484676,-7.537892737179101,11.254201259115938,-0.6697847820229255,-133.56066060257294,0.002630452054192918,0.2446994262908456
0.5,4008,-107.63950125573842,-6.76775307296559,11.080920214782743,-0.6107573145357478,-125.48183083488112,0.002577982421574561,0.2160139685707159
0.75,4008,-117.30046765668183,-7.375179104162631,10.60773430261193,-0.6952643131669172,-129.96311329973315,0.002458389374735022,0.1820902968321277
