tcost_bps,nobs,annualized_pnl,annualized_vol,sharpe,max_drawdown,annual_turnover
0.0,3252,213558.98002303328,1695941.962659881,0.12592351903840607,-4220165.113730246,7.824162311712266
0.25,3252,193992.5593588266,1695266.3651203203,0.11443190483228759,-4230165.113730245,7.824162311712266
0.5,3252,174426.13869461996,1694618.476093239,0.10292944468346688,-4240165.113730245,7.824162311712266
0.75,3252,154859.71803041335,1693998.3273709489,0.09141668886459439,-4320972.270195372,7.824162311712266
1.0,3252,135293.2973662067,1693405.9494301027,0.07989419041059717,-4415972.270195374,7.824162311712266
1.5,3252,96160.45603779341,1692304.621176914,0.05682219077728368,-4605972.270195371,7.824162311712266
