cointegration_regime,nobs,avg_spread,spread_vol,avg_abs_daily_change_bps,avg_half_life_days,avg_beta
strong,100,2.383977059396701,0.6207664226836974,6.204204085734179,8.019697284176997,1.1700854016139974
moderate,290,1.7286979861432206,1.2822054156275642,9.419775973811515,9.669183190145775,0.8952570205880928
weak,292,0.9325678717860298,1.4160115873781793,8.553553554966193,10.816775228046907,0.7214735954234835
none,2320,1.3276021782824379,1.8016624719796406,9.91386480513781,51.008858026657535,0.6462124652136917
