entry_date,exit_date,side,holding_days,holding_calendar_days,entry_z,exit_z,gross_pnl,carry_rolldown_pnl,market_move_pnl,transaction_cost,net_pnl,max_drawdown_trade
2015-11-23,2015-12-09,Short spread,12,16,-1.2850465079370776,-0.24174153250445932,736493.0784282251,13920.418061713846,722572.6603665112,10000.0,726493.0784282251,-125851.84566693287
2015-12-30,2016-04-29,Short spread,80,121,-1.304064377782782,-0.23951487467789875,-878677.2228198012,-250912.0592139613,-627765.1636058398,10000.0,-888677.2228198012,-2479600.0985355843
2016-07-21,2016-09-02,Long spread,31,43,1.4168015941308212,0.2457713719282643,724575.5261860758,-38835.18372495053,763410.7099110263,10000.0,714575.5261860758,-239353.62034363888
2016-10-20,2016-11-22,Long spread,21,33,1.2558241643642585,0.13862625064037454,928322.388900014,-36670.34046207895,964992.7293620929,10000.0,918322.388900014,-206907.10289519373
2017-02-08,2017-03-15,Long spread,23,35,1.4404907725878728,-0.04069908411515014,668991.9811994507,75494.89809646737,593497.0831029834,10000.0,658991.9811994507,-83266.38157445742
2017-05-26,2017-06-01,Short spread,4,6,-1.4254630577279377,-0.24480389851034637,356838.53177332866,-28317.599011272065,385156.13078460074,10000.0,346838.53177332866,-24300.074863959242
2017-06-08,2017-06-14,Short spread,4,6,-1.4584827082211747,0.032443802437340984,74383.02928628816,-22563.26483169602,96946.29411798419,10000.0,64383.02928628817,-129835.65244537231
2017-07-05,2017-07-10,Short spread,3,5,-1.6373992464238116,-0.016838500155611603,114989.42219949626,-24753.515874564866,139742.93807406112,10000.0,104989.42219949626,-4536.833470236701
2017-07-28,2017-09-05,Short spread,27,39,-1.367074370030758,0.13266201569814726,133525.12521547414,-209294.27310657012,342819.3983220442,10000.0,123525.12521547414,-386064.7864872586
2017-09-27,2017-10-04,Short spread,5,7,-1.4886331660486347,-0.21865370624148608,148989.80057134148,-37141.88904915616,186131.68962049764,10000.0,138989.80057134148,-23925.745708908144
2017-11-10,2018-02-02,Short spread,54,84,-1.6208931079978155,-0.1682843944142125,611393.9880111549,-566852.8137003453,1178246.8017115002,10000.0,601393.9880111549,-877345.9730418095
2018-02-09,2018-03-15,Short spread,22,34,-1.4532142646022763,-0.2226449543909352,-22830.111370252504,-208568.59938608884,185738.48801583634,10000.0,-32830.1113702525,-516089.99021095416
2018-03-26,2018-05-08,Short spread,29,43,-1.2769031676853724,0.3667187226067058,-41648.079218116014,-277242.0413963435,235593.9621782275,10000.0,-51648.079218116014,-542391.8018715236
2018-05-22,2018-06-11,Short spread,13,20,-1.9994070691703587,0.10850475018566444,57570.33345321489,-112704.33910201481,170274.67255522968,10000.0,47570.33345321489,-1453425.282550171
2018-06-15,2018-07-10,Long spread,16,25,3.355763554195534,-0.8660863567898388,171943.67628714605,114815.50332303315,57128.172964112804,10000.0,161943.67628714605,-739162.1795852705
2018-07-16,2018-09-21,Short spread,48,67,-2.0366670575348707,0.07233194396082489,74055.83224215911,-319123.9946239648,393179.826866124,10000.0,64055.832242159115,-1380222.1584619635
2018-10-17,2018-11-12,Long spread,17,26,1.456490748548307,0.10734510710398731,738993.7140134019,89977.22697423249,649016.4870391695,10000.0,728993.7140134019,-295241.2228180084
2018-11-22,2019-05-15,Long spread,115,174,1.413323507932489,0.23532342541593465,-96936.80453632877,906497.7997212873,-1003434.6042576162,10000.0,-106936.80453632865,-1044918.3485457647
2019-06-26,2019-10-09,Long spread,74,105,1.3908705934784582,0.1447955728341868,382463.901252295,433095.60658076935,-50631.705328474396,10000.0,372463.901252295,-416773.2223284704
2019-11-01,2020-01-08,Long spread,42,68,1.3176362681841662,0.012760873180364602,100809.80630846621,194750.14481977923,-93940.33851131318,10000.0,90809.80630846621,-405527.4373250039
2020-02-28,2020-05-20,Short spread,55,82,-1.6452029252804654,-0.11097607272480037,-3146117.70906139,-455388.32200571906,-2690729.387055671,10000.0,-3156117.7090613903,-3401953.6508326894
2020-08-17,2020-10-28,Short spread,50,72,-1.5087568422543423,-0.05629905075312349,1589113.490427786,-540810.7378771038,2129924.2283048895,10000.0,1579113.490427786,-551155.106811164
2021-03-11,2021-08-16,Long spread,108,158,1.4821534975838209,0.11508533467084459,-500493.81605836714,458822.5103054882,-959316.326363855,10000.0,-510493.81605836714,-1785059.8719597165
2021-08-25,2021-09-14,Long spread,13,20,1.334070316257074,0.1843303348172179,294566.8326128636,58096.08736755578,236470.7452453079,10000.0,284566.8326128636,-582011.6510600446
2021-10-25,2021-12-30,Long spread,45,66,1.8660095166947197,0.24961991844820328,-783243.0508038825,-364538.0985989739,-418704.9522049087,10000.0,-793243.0508038825,-1592540.6833664048
2022-03-04,2022-03-17,Long spread,9,13,1.4033742289578104,-0.10404396898362626,619556.6278832896,-53665.852481231006,673222.4803645206,10000.0,609556.6278832896,-493340.70224380615
2022-04-19,2022-08-10,Short spread,79,113,-1.268575778438056,-0.09355374565064695,-951843.650706195,564428.5198060662,-1516272.1705122609,10000.0,-961843.650706195,-1331838.6093682533
2022-09-13,2022-09-14,Long spread,1,1,1.4513621556379215,0.2315738973503303,170600.15051695565,-6526.01735162861,177126.16786858425,10000.0,160600.15051695565,0.0
2022-09-16,2022-09-21,Long spread,3,5,1.3277106596173607,0.09877480968853093,-99071.25495811363,-23342.133380731764,-75729.12157738188,10000.0,-109071.25495811363,-250863.6516424172
2022-11-14,2023-01-23,Long spread,48,70,1.479107451446417,0.04096166444764096,1199578.7133672005,-206786.88306945324,1406365.596436654,10000.0,1189578.7133672005,-687958.9797938355
2023-03-15,2023-04-17,Short spread,22,33,-1.8608482584854014,-0.1417743195881985,791770.6610274918,-34062.41528018761,825833.0763076794,10000.0,781770.6610274918,-290849.58480340935
2023-05-08,2023-05-12,Short spread,4,4,-1.3350183341034445,-0.04983359645696661,610339.1241819148,1591.8793961908762,608747.244785724,10000.0,600339.1241819148,0.0
2023-05-30,2023-06-15,Short spread,11,16,-1.5387185519035358,-0.05292807774412438,-88938.98841011368,13407.149087328205,-102346.13749744196,10000.0,-98938.98841011368,-491931.42136081395
2023-06-26,2023-06-29,Short spread,3,3,-1.435167634977614,-0.1848415888709548,-200668.17512394232,6790.9567891231145,-207459.1319130654,10000.0,-210668.17512394232,-228664.5036826097
2023-08-09,2023-11-28,Short spread,75,111,-1.3354628008940481,-0.23566525236890454,732099.3295623969,-106637.06951744345,838736.3990798402,10000.0,722099.3295623969,-421141.6464419351
2024-04-16,2025-01-30,Long spread,199,289,1.4348982943493676,0.06034999866178707,-2218783.4508931222,-191083.78708728505,-2027699.6638058373,10000.0,-2228783.4508931222,-4131469.3493567547
