date,beta,tstat,r2
2013-01-21,-0.2771088924867703,-8.67883307541284,0.09082374579843688
2013-01-22,-0.2772493727747428,-8.656472256991357,0.09039859103108616
2013-01-23,-0.2775786925766751,-8.644000578191024,0.09016176640964801
2013-01-24,-0.2774726943163729,-8.626641718499581,0.08983250271902832
2013-01-28,-0.2747005694223551,-8.52083656545108,0.08783480139855382
2013-01-29,-0.2738857571418547,-8.47519162216332,0.08697791440572522
2013-01-30,-0.2730172971895023,-8.4228296253308,0.08599863000671404
2013-01-31,-0.2724349399225785,-8.369069323646022,0.08499734118885827
2013-02-01,-0.2722394960732626,-8.333096178932037,0.08432970276309881
2013-02-04,-0.2724887066889383,-8.305227546181202,0.08381378941522954
2013-02-05,-0.2715362344676743,-8.221248625319433,0.08226611457012889
2013-02-06,-0.27197680789478584,-8.201242558483845,0.08189897038961425
2013-02-07,-0.2730601131518225,-8.2098975766986,0.08205773044344566
2013-02-08,-0.27148034500254276,-8.13991550762686,0.08077727536838897
2013-02-13,-0.2689958703406044,-8.044701898602582,0.07904710732066911
2013-02-14,-0.26800255266299833,-7.992448820195862,0.07810350864077842
2013-02-15,-0.2673438315489587,-7.970721920209772,0.07771240297400628
2013-02-18,-0.2666081951111834,-7.946931778739304,0.07728499887758089
2013-02-19,-0.2658225825198594,-7.9214912236189905,0.07682892124026997
2013-02-20,-0.26467747411153536,-7.890734799961353,0.07627889861155468
2013-02-21,-0.26383308150765383,-7.868636481516977,0.07588462852513389
2013-02-22,-0.2635572838759867,-7.8592727996371705,0.07571779739756745
2013-02-25,-0.26326678869566966,-7.852905838928672,0.07560443743999112
2013-02-26,-0.2624682488388772,-7.830493999682378,0.07520591822938671
2013-02-27,-0.26201406610463557,-7.826851175615959,0.07514121805611762
2013-02-28,-0.26147025654998063,-7.819836241884406,0.0750166851976154
2013-03-01,-0.26016537849753196,-7.78444866676677,0.07438965937557895
2013-03-04,-0.259347404802193,-7.773386385852563,0.07419405856019079
2013-03-05,-0.25849030824036767,-7.779379108913996,0.07429999630298989
2013-03-06,-0.25754537032833014,-7.7805364414739495,0.07432046192697694
2013-03-07,-0.256497505405165,-7.774285833888895,0.0742099550991332
2013-03-08,-0.25660962223847245,-7.80158181820451,0.07469298945541558
2013-03-11,-0.25647792790243307,-7.826854014838268,0.07514126847532676
2013-03-12,-0.2553287962246983,-7.8195034011034386,0.07501077837173631
2013-03-13,-0.2541580362701681,-7.807511084921154,0.07479807178402009
2013-03-14,-0.2520253024912735,-7.774637195179556,0.07421616529047281
2013-03-15,-0.2498293574396741,-7.73012515660513,0.07343100448849793
2013-03-18,-0.24717317205069533,-7.664942768390219,0.07228698889654261
2013-03-19,-0.24654746702629943,-7.671813478663014,0.07240725266177261
2013-03-20,-0.24507886031037496,-7.643573292418125,0.07191343114219417
2013-03-21,-0.24442246234780934,-7.634019135269937,0.07174665613642695
2013-03-22,-0.24384298845435554,-7.627806429331246,0.07163828848022646
2013-03-25,-0.24248018541965652,-7.595643086094697,0.07107827400619704
2013-03-26,-0.24073628982842427,-7.547899273102406,0.07025010592299907
2013-03-27,-0.24008152791882695,-7.5362155744657615,0.07004801095680036
2013-03-28,-0.23948159596017574,-7.524142191729031,0.06983941236472913
2013-04-01,-0.2391822595765996,-7.5171197843581785,0.06971819316556549
2013-04-02,-0.23855345007513495,-7.489901626267097,0.06924913158099366
2013-04-03,-0.23786742127053495,-7.469189754889661,0.06889301988129903
