,count,mean,std,min,25%,50%,75%,max
z252,4009.0,10.079751516121226,3.475519400260915,1.970000000000005,7.2770814639121495,10.850000000000005,13.02131959530306,15.799999999999992
z504,4009.0,10.247847562892266,3.167610891138615,2.5450523385312396,7.830775408712998,11.053089693576057,12.673218592813896,16.5458326137899
z1260,4009.0,10.780808453470625,2.467598653301704,4.566915587820497,9.146358446093172,11.30938719193999,12.496915880528881,16.919797713354413
z2520,4009.0,11.215868500758521,2.0906215442940033,6.210000000000004,9.919999999999995,11.569999999999991,12.519999999999998,16.799999999999994
fwd_1y1y,4009.0,10.419524994773798,2.9513816167539537,3.123347642562635,8.229586746194006,11.063997935462599,12.626423409885668,17.296468908821527
fwd_5y5y,4009.0,11.655019362016194,1.7738666424206373,7.045329732802741,10.68274315126545,11.7739530960135,12.612994998169125,16.95048264244945
spread_5y5y_minus_1y1y,4009.0,1.2354943672423944,1.6014318655968107,-2.435093770795227,-0.1315099530893029,1.2824074184864873,2.290449253204807,6.445308683284057
