date,spread_obs,fair_value,mispricing,n_train,mispricing_mean_roll,mispricing_std_roll,mispricing_z,position,next_date,calendar_days_to_next,rolldown_change_1d,spread_change_1d,market_move_change_1d,spread_change_1d_bps,rolldown_change_1d_bps,market_move_change_1d_bps,position_lag1,gross_pnl,carry_rolldown_pnl,market_move_pnl,turnover,transaction_cost,net_pnl,equity_gross,equity_net,carry_rolldown_equity,market_move_equity,running_max,drawdown,fwd_1y1y,fwd_5y5y,spread_from_forward_file,pvalue_coint,coint_stat,alpha,beta,resid_std,half_life_days,cointegration_regime,cointegrated_5pct,cointegrated_5pct_smooth
2013-01-22,2.226090198038809,1.4066235542068184,-0.8194666438319906,756,,,,0.0,2013-01-23,1.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,8.636015305578004,10.310208839486368,1.6741935339083636,,,,,,,,,
2013-01-23,2.215403398666705,1.434567324328459,-0.7808360743382465,756,,,,0.0,2013-01-24,1.0,0.0050094448691204,-0.0106867993721038,-0.0156962442412242,-1.0686799372103817,0.5009444869120472,-1.5696244241224289,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.610004188285458,10.280486091747342,1.6704819034618836,,,,,,,,,
2013-01-24,2.1455939180095704,1.421633256990288,-0.7239606610192824,756,,,,0.0,2013-01-28,4.0,0.0045884505651461,-0.0698094806571347,-0.0743979312222808,-6.980948065713477,0.4588450565146118,-7.439793122228089,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.726687050430627,10.359835554302132,1.6331485038715066,,,,,,,,,
2013-01-28,2.237531697058848,1.276291475450489,-0.9612402216083592,756,,,,0.0,2013-01-29,1.0,0.0195926570939484,0.0919377790492776,0.0723451219553292,9.193777904927767,1.9592657093948416,7.234512195532927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.70456967270108,10.37922891288925,1.67465924018817,,,,,,,,,
2013-01-29,2.2672350375738226,1.401686431317096,-0.8655486062567266,756,,,,0.0,2013-01-30,1.0,0.0047458651475142,0.0297033405149744,0.0249574753674601,2.9703340514974474,0.4745865147514294,2.495747536746018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.611292821838257,10.347104081800529,1.735811259962272,,,,,,,,,
2013-01-30,2.290286764043614,1.422196668927387,-0.8680900951162271,756,,,,0.0,2013-01-31,1.0,0.0040919498927696,0.0230517264697915,0.0189597765770219,2.305172646979159,0.4091949892769619,1.895977657702197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.674884026540642,10.42658688114686,1.7517028546062186,,,,,,,,,
2013-01-31,2.2912535710985384,1.4377070302540451,-0.8535465408444933,756,,,,0.0,2013-02-01,1.0,0.0043896203940185,0.0009668070549242,-0.0034228133390943,0.0966807054924245,0.4389620394018578,-0.3422813339094332,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.751395698511843,10.462571476322193,1.7111757778103485,,,,,,,,,
2013-02-01,2.141150165177108,1.4532227226621808,-0.6879274425149273,756,,,,0.0,2013-02-04,3.0,0.0033616244921041,-0.1501034059214303,-0.1534650304135345,-15.010340592143034,0.3361624492104198,-15.346503041353454,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.781340413626438,10.339465854270212,1.5581254406437743,,,,,,,,,
2013-02-04,2.205598384319618,1.4777717383426283,-0.7278266459769895,756,,,,0.0,2013-02-05,1.0,0.0081724534838816,0.0644482191425099,0.0562757656586283,6.444821914250998,0.8172453483881625,5.627576565862835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.792673803261364,10.388711117625624,1.5960373143642617,,,,,,,,,
2013-02-05,2.310883014812104,1.4446990957160866,-0.8661839190960174,756,,,,0.0,2013-02-06,1.0,0.0032741870610983,0.1052846304924859,0.1020104434313875,10.528463049248591,0.3274187061098388,10.201044343138754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.841055115115882,10.576152275692042,1.73509716057616,,,,,,,,,
2013-02-06,2.1870147140283134,1.5216427845396907,-0.6653719294886227,756,,,,0.0,2013-02-07,1.0,0.0039262484667013,-0.1238683007837906,-0.1277945492504919,-12.386830078379065,0.392624846670131,-12.779454925049194,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.913486284453164,10.552732386757048,1.639246102303883,,,,,,,,,
2013-02-07,2.148162127676745,1.5679939655017676,-0.5801681621749772,756,,,,0.0,2013-02-08,1.0,0.0038756310401169,-0.0388525863515685,-0.0427282173916854,-3.885258635156852,0.38756310401169,-4.272821739168542,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.015053110774264,10.639415071045711,1.6243619602714483,,,,,,,,,
2013-02-08,2.072731694790164,1.4332387884467948,-0.6394929063433694,756,,,,0.0,2013-02-13,5.0,0.0033365945876866,-0.0754304328865806,-0.0787670274742673,-7.543043288658069,0.3336594587686647,-7.876702747426734,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.018333183142444,10.621946515557523,1.603613332415078,,,,,,,,,
