date,dc_1y,dc_2y,dc_5y,dc_10y,z_1y,z_2y,z_5y,z_10y,fwd_1y1y,fwd_5y5y,spread_5y5y_minus_1y1y
2010-01-04,365,730,1826,3652,10.4665400565358,11.804240508564835,12.739961301895564,13.139979419207236,13.158139915485044,13.541416860176025,0.38327694469098006
2010-01-05,365,730,1826,3652,10.443064091503484,11.778529615277034,12.74225586598552,13.1699717980168,13.130143442974052,13.599310377360819,0.4691669343867666
2010-01-06,365,730,1826,3652,10.361768779287539,11.741379078028302,12.75993643690021,13.199965992396434,13.138235607936299,13.641712700418896,0.5034770924825978
2010-01-07,365,730,1826,3652,10.358984643875058,11.7342303760549,12.789929019774316,13.229962029629693,13.126613823210853,13.671711762347162,0.5450979391363084
2010-01-08,365,730,1826,3652,10.346180719513898,11.727084194334992,12.784542249468455,13.20996023834411,13.125268687804304,13.636982883865523,0.5117141960612184
2010-01-11,365,730,1826,3652,10.3974705892681,11.755658657082746,12.826859891364695,13.249965678246234,13.130556118850967,13.67465813081239,0.5441020119614226
2010-01-12,365,730,1826,3652,10.435138445149427,11.768521694619704,12.827639636389087,13.269971302730422,13.118004085314405,13.714037094714016,0.5960330093996102
2010-01-13,365,730,1826,3652,10.371552836308062,11.730738282207188,12.829960641251947,13.219979106645518,13.106661601488279,13.611345745897196,0.5046841444089178
2010-01-14,365,730,1826,3652,10.408695284132442,11.804968646400749,12.869978390647073,13.24998854809225,13.218899850718202,13.631278122099921,0.41237827138171923
2010-01-15,365,730,1826,3652,10.345818535618335,11.737259471180007,12.809999999999988,13.179999999999993,13.146246226808556,13.551213544898498,0.4049673180899429
2010-01-18,365,730,1826,3652,10.376282569764683,11.725400703633081,12.77080477596957,13.149794097194057,13.09100897194664,13.530057089435509,0.43904811748886985
2010-01-19,365,730,1826,3652,10.441790877748236,11.777737229452923,12.801077331342636,13.15023996491005,13.129843701710243,13.500483390856077,0.37063968914583434
2010-01-20,365,730,1826,3652,10.448795548440915,11.78817921612254,12.811354158792533,13.190302542023847,13.143805239371243,13.570523863411289,0.42671862404004557
2010-01-21,365,730,1826,3652,10.505625078459314,11.869794555341429,12.891625542487528,13.269597301687885,13.250804427093342,13.648834545817401,0.39803011872405847
2010-01-22,365,730,1826,3652,10.512697605391574,11.862602439597003,12.89190857715381,13.299534567255854,13.228996266478354,13.708632398430499,0.4796361319521445
