date,fwd_1y1y,fwd_5y5y,spread_5y5y_minus_1y1y,ipca_mom,ipca_12m,ipca_3m_saar,release_date_x,ibc_br_sa_level,release_date_y,available_date,focus_ipca_12m,focus_ipca_12m_chg_5d,focus_ipca_12m_chg_21d,inflation_expectations_gap,inflation_persistence_gap,spread_chg_5d,spread_chg_21d,ibc_br_sa_3m_change,spread_change_fwd_5d,spread_change_fwd_21d,spread_change_fwd_63d,inflation_expectations_gap_z,inflation_persistence_gap_z,spread_5y5y_minus_1y1y_diff1,inflation_expectations_gap_diff1,inflation_persistence_gap_diff1,spread_change_1d_bp,spread_realized_vol_bp,rebalance_flag,desired_position_raw,desired_position,signal_strength,predicted_change_bp,factor_z_current,train_beta,train_tstat,train_r2,train_alpha,train_target_std_bp,vol_scalar,position_target,position_active,turnover,gross_pnl_bp,transaction_cost_bp,net_pnl_bp,cum_gross_pnl_bp,cum_net_pnl_bp,running_peak_bp,drawdown_bp
2010-01-04,12.577655514283448,13.648011226855791,1.0703557125723453,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-01,4.35,0.3199999999999994,0.0199999999999995,0.1315064172431226,0.5662398508481505,,,,0.1847496951583398,-0.1359996204520969,-1.1119537440999585,0.5054889552832229,0.3971348039981105,,,,,,0,,,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0
2010-01-05,12.532077633759297,13.655327593654132,1.1232499598948351,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-05,4.3,0.3099999999999996,-0.1000000000000005,0.0815064172431228,0.5162398508481507,,,,0.1016488636085046,-0.1614315821322662,-1.1415212019226573,0.4783664718852475,0.3824947171892044,0.0528942473224898,-0.0499999999999997,-0.0499999999999998,5.289424732248982,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-06,12.471912917975448,13.703439092487924,1.2315261745124744,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-06,4.18,0.1899999999999995,0.1600000000000001,-0.0384935827568773,0.3962398508481506,,,,-0.0684222386373871,-0.2319853296754531,-1.3428678364160156,0.4132725117301062,0.3473585088478295,0.1082762146176392,-0.1200000000000001,-0.1200000000000001,10.827621461763925,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-07,12.458072721279922,13.735636552350927,1.277563831071005,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-07,4.39,0.0499999999999998,0.0499999999999998,0.1715064172431226,0.6062398508481506,,,0.0,-0.2333695074375745,-0.3388441407875081,-1.3074917269923587,0.5271869420016033,0.4088468734452355,0.0460376565585305,0.2099999999999999,0.2099999999999999,4.603765655853054,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-08,12.467928686962804,13.652783708439609,1.184855021476805,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-08,4.22,0.1899999999999995,-0.1299999999999999,0.0015064172431227,0.4362398508481506,,,0.0,-0.1665008569095896,-0.2808888494562733,-1.2419025063669746,0.4349704984484866,0.3590705782949545,-0.0927088095941999,-0.1699999999999999,-0.1699999999999999,-9.27088095941999,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-01-11,12.49526292060239,13.750368328333074,1.2551054077306851,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-11,4.4,0.0500000000000007,-0.0099999999999997,0.0879716703100239,0.0768081784090233,0.1847496951583398,,0.0,-0.1653275986101903,-0.3245013565812443,-1.3651384011651455,0.4818735462646622,0.2538283605673713,0.0702503862538801,0.0864652530669012,-0.3594316724391272,7.025038625388014,,0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-12,12.50520772726098,13.73010655076432,1.2248988235033398,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-12,4.5,0.2000000000000001,0.2000000000000001,0.1879716703100236,0.1768081784090229,0.1016488636085046,,0.0,-0.1703671065004677,-0.1131197821558913,-1.1337443314464188,0.5361185130606131,0.2831085341851836,-0.0302065842273453,0.0999999999999997,0.0999999999999996,-3.0206584227345346,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-01-13,12.476327688862288,13.639431624737377,1.1631039358750872,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-13,4.5,0.3200000000000003,0.1799999999999997,0.1879716703100236,0.1768081784090229,-0.0684222386373871,,0.0,-0.0248752749018041,0.0628152257108549,-1.0952499804723017,0.5361185130606131,0.2831085341851836,-0.0617948876282525,0.0,0.0,-6.179488762825258,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-01-14,12.562225560530948,13.606419884164378,1.0441943236334303,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-14,4.53,0.1400000000000005,0.2200000000000006,0.2179716703100238,0.2068081784090232,-0.2333695074375745,,0.0,0.0646142323836187,0.2015579050591576,-1.0377727509135468,0.5523920030993985,0.2918925862705274,-0.1189096122416568,0.0300000000000001,0.0300000000000003,-11.890961224165686,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2010-01-15,12.486889158762482,13.505243323329696,1.0183541645672154,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-15,4.47,0.25,0.08,0.1579716703100233,0.1468081784090227,-0.1665008569095896,,1.3608100000000007,0.0494307798039042,0.1906097932688801,-1.1336123417254438,0.5198450230218277,0.2743244820998398,-0.0258401590662149,-0.0600000000000005,-0.0600000000000005,-2.584015906621495,,0,,,,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
