date,factor,horizon_days,training_window,rebalance_every,alpha,beta,tstat,r2,factor_z_current,predicted_change_bp,signal_strength,desired_position_raw,desired_position,train_target_std_bp,vol_scalar
2013-02-25,inflation_expectations_gap,21,756,5,0.02322767255809664,-0.13085165628269135,-2.56181757351561,0.09039859103108638,-0.44472088910143714,8.142013748053078,0.1870826176681432,0.1870826176681432,0.10059286089561062,43.52095266539301,0.5376921819324093
2013-03-04,inflation_expectations_gap,21,756,5,0.01990273061736999,-0.1288372715494448,-2.5182415970490055,0.08599863000671404,-0.325227485902704,6.1804152533959895,0.14067661288709776,0.14067661288709776,0.07546810492889988,43.93349488984484,0.5364651833739272
2013-03-11,inflation_expectations_gap,21,756,5,0.012252363434962478,-0.12819848679687365,-2.4896754808944954,0.08189897038961425,-0.6180377136124448,9.148386310347744,0.20422119698166658,0.20422119698166658,0.10892636233049574,44.79645818141501,0.5333744192101387
2013-03-18,inflation_expectations_gap,21,756,5,0.00823206821601637,-0.12598031563679166,-2.4376764177577965,0.07771240297400628,-0.5538432955717,7.800542140546002,0.17261052136196156,0.17261052136196156,0.09543830394981324,45.19157974262986,0.5529112779265675
2013-03-25,inflation_expectations_gap,21,756,5,0.010688146423598638,-0.12401283151255713,-2.4098934897568864,0.07571779739756745,-0.10863623832715914,2.4160433943422626,0.053608924281588796,0.0,0.0,45.067932750368904,0.5426759232544921
2013-04-02,inflation_expectations_gap,21,756,5,0.015498059494395814,-0.12231272842873042,-2.395149861471008,0.07438965937557895,0.0007183290451894428,1.5410198708969087,0.03436314223988183,0.0,0.0,44.84513843755541,0.525092061916402
2013-04-09,inflation_expectations_gap,21,756,5,0.02294952524119364,-0.12074547400780962,-2.3917909699596667,0.0746929894554158,-0.581364995542407,9.31467171995097,0.2108320412679189,0.2108320412679189,0.1078318386557916,44.18053187709818,0.5114584956219353
2013-04-16,inflation_expectations_gap,21,756,5,0.02942539178480417,-0.11760870151909884,-2.3567343117669464,0.07343100448849826,-0.857647610843322,13.029221365704466,0.3002055675036736,0.3002055675036736,0.1488379357034469,43.40099843599678,0.4957867268788263
2013-04-23,inflation_expectations_gap,21,756,5,0.0340977333219261,-0.11481681490482912,-2.3187582941911478,0.07163828848022691,-1.1736315650228495,16.885037148961953,0.39361272134792785,0.39361272134792785,0.1746248516700548,42.89759002488308,0.44364636150999265
2013-04-30,inflation_expectations_gap,21,756,5,0.03699674165882715,-0.11261847022061587,-2.2847462624241404,0.06971819316556549,-0.8224358492682249,12.961820885800766,0.30389912788332885,0.30389912788332885,0.13276898233439482,42.6517212342149,0.4368850389901965
2013-05-08,inflation_expectations_gap,21,756,5,0.03758092632017759,-0.11171384554386775,-2.27010357727474,0.06868901960207918,-0.9437359082011736,14.300929380316523,0.33550648500498503,0.33550648500498503,0.14849897611557694,42.624897042166076,0.44261134360300225
2013-05-15,inflation_expectations_gap,21,756,5,0.042828384826057234,-0.11179931316112102,-2.2889822310418624,0.06922110020808914,-1.1941668014028737,17.633541302271134,0.41497282064889157,0.41497282064889157,0.18434857382939843,42.49324395438146,0.44424252542885384
2013-05-22,inflation_expectations_gap,21,756,5,0.04971592095645112,-0.11083586515644347,-2.2893926753918348,0.06986201462451702,-0.7240931142834538,12.997140773188121,0.3099474444402968,0.3099474444402968,0.1590081930827004,41.93336969323416,0.5130166288992556
2013-05-29,inflation_expectations_gap,21,756,5,0.05526101621200411,-0.11140001252171103,-2.3168002574431803,0.07133734095408628,-0.3366475253107624,9.276355474702608,0.22240810085415977,0.22240810085415977,0.10916271868953326,41.70871222350582,0.4908216844183873
2013-06-06,inflation_expectations_gap,21,756,5,0.0599609133202232,-0.11084066225812994,-2.315861980168354,0.07169847218011072,-0.9964040937408399,17.04030029471697,0.41165470414626965,0.41165470414626965,0.193751199768998,41.39464488826099,0.47066436461795924
2013-06-13,inflation_expectations_gap,21,756,5,0.05876366960056324,-0.10903683585918006,-2.2834381375434876,0.0692501864516355,-0.6232720556337062,12.672328242630943,0.3058395506512732,0.3058395506512732,0.14441858681141712,41.43456337038726,0.4722037633912405
2013-06-20,inflation_expectations_gap,21,756,5,0.051205579422148914,-0.10840639927658752,-2.2601490439366203,0.06764492468895567,-0.4416235939465977,9.908040307748534,0.23771164309824883,0.23771164309824883,0.1024586378921621,41.68092138277565,0.43102069615418387
2013-06-27,inflation_expectations_gap,21,756,5,0.041553317939915874,-0.10571261340366889,-2.169504545950783,0.06294713696818277,-0.6781025821349687,11.323731405317943,0.2687514034939513,0.2687514034939513,0.1016386235786861,42.13459449179324,0.3781882522558571
2013-07-04,inflation_expectations_gap,21,756,5,0.036932472062897806,-0.10454069269078212,-2.1320083547583164,0.0611510497879757,-1.2277961538148816,16.52871324657836,0.39098097953998995,0.39098097953998995,0.1455748766109773,42.27498039936693,0.3723323747928964
