date,fwd_1y1y,fwd_5y5y,spread_5y5y_minus_1y1y,ipca_mom,ipca_12m,ipca_3m_saar,release_date_x,ibc_br_sa_level,release_date_y,available_date,focus_ipca_12m,focus_ipca_12m_chg_5d,focus_ipca_12m_chg_21d,inflation_expectations_gap,inflation_persistence_gap,spread_chg_5d,spread_chg_21d,ibc_br_sa_3m_change
2010-01-04,12.577655514283448,13.648011226855791,1.0703557125723453,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-01,4.35,0.3199999999999994,0.019999999999999574,0.13150641724312262,0.5662398508481505,,,
2010-01-05,12.532077633759297,13.655327593654132,1.1232499598948351,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-05,4.3,0.3099999999999996,-0.10000000000000053,0.0815064172431228,0.5162398508481507,,,
2010-01-06,12.471912917975448,13.703439092487924,1.2315261745124744,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-06,4.18,0.1899999999999995,0.16000000000000014,-0.03849358275687731,0.3962398508481506,,,
2010-01-07,12.458072721279922,13.735636552350927,1.277563831071005,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-07,4.39,0.04999999999999982,0.04999999999999982,0.17150641724312266,0.6062398508481506,,,0.0
2010-01-08,12.467928686962804,13.652783708439609,1.184855021476805,0.41,4.218493582756877,3.783760149151849,2009-12-10,91.29501,2009-12-15,2010-01-08,4.22,0.1899999999999995,-0.1299999999999999,0.0015064172431227263,0.43623985084815065,,,0.0
2010-01-11,12.49526292060239,13.750368328333074,1.2551054077306851,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-11,4.4,0.05000000000000071,-0.009999999999999787,0.08797167031002395,0.07680817840902332,0.18474969515833983,,0.0
2010-01-12,12.50520772726098,13.73010655076432,1.2248988235033398,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-12,4.5,0.20000000000000018,0.20000000000000018,0.1879716703100236,0.17680817840902296,0.10164886360850467,,0.0
2010-01-13,12.476327688862288,13.639431624737377,1.1631039358750872,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-13,4.5,0.3200000000000003,0.17999999999999972,0.1879716703100236,0.17680817840902296,-0.06842223863738717,,0.0
2010-01-14,12.562225560530948,13.606419884164378,1.0441943236334303,0.37,4.312028329689976,4.323191821590977,2010-01-10,91.29501,2009-12-15,2010-01-14,4.53,0.14000000000000057,0.22000000000000064,0.21797167031002385,0.2068081784090232,-0.23336950743757456,,0.0
2010-01-15,12.486889158762482,13.505243323329696,1.0183541645672154,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-15,4.47,0.25,0.08000000000000007,0.15797167031002335,0.14680817840902272,-0.1665008569095896,,1.3608100000000007
2010-01-18,12.422355844127498,13.512133653247991,1.0897778091204948,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-18,4.44,0.040000000000000036,0.09000000000000075,0.127971670310024,0.11680817840902336,-0.1653275986101903,,1.3608100000000007
2010-01-19,12.48699862264968,13.541530339652551,1.054531717002872,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-19,4.56,0.05999999999999961,0.2999999999999998,0.2479716703100232,0.23680817840902257,-0.1703671065004677,,1.3608100000000007
2010-01-20,12.50317001469865,13.641398675671931,1.138228660973283,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-20,4.5,0.0,0.3200000000000003,0.1879716703100236,0.17680817840902296,-0.02487527490180419,,0.0
2010-01-21,12.581790198312625,13.690598754329674,1.108808556017049,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-21,4.32,-0.20999999999999996,-0.0699999999999994,0.007971670310023882,-0.003191821590976751,0.06461423238361874,,0.0
2010-01-22,12.602012351798164,13.669797296169284,1.0677849443711196,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-22,4.59,0.1200000000000001,0.29000000000000004,0.27797167031002346,0.2668081784090228,0.0494307798039042,,0.0
2010-01-26,12.532439796643802,13.687428754836883,1.1549889581930817,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-26,4.46,-0.09999999999999964,0.4299999999999997,0.14797167031002356,0.13680817840902293,0.06521114907258685,,0.0
2010-01-27,12.513376039105651,13.643102203182744,1.129726164077093,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-27,4.75,0.25,0.7599999999999998,0.4379716703100236,0.42680817840902296,0.07519444707422096,,0.0
2010-01-28,12.514560236877248,13.642886757154526,1.1283265202772783,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-28,4.75,0.4299999999999997,0.7599999999999998,0.4379716703100236,0.42680817840902296,-0.009902140696004702,,0.0
2010-01-29,12.420260995098763,13.615335281309536,1.1950742862107724,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-01-29,4.6,0.009999999999999787,0.2599999999999998,0.28797167031002324,0.2768081784090226,0.0862657301937233,,0.0
2010-02-01,12.362449480095528,13.43279227139169,1.070342791296163,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-02-01,4.51,-0.03000000000000025,0.47999999999999954,0.19797167031002338,0.18680817840902275,0.00255784692504335,,0.0
2010-02-02,12.295000982772454,13.171884148342585,0.8768831655701295,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-02-02,4.51,0.04999999999999982,0.16000000000000014,0.19797167031002338,0.18680817840902275,-0.2781057926229522,,0.0
2010-02-03,12.25734518471442,13.191701276834667,0.9343560921202484,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-02-03,4.28,-0.46999999999999975,-0.019999999999999574,-0.032028329689976154,-0.04319182159097679,-0.19537007195684464,-0.1359996204520969,0.0
2010-02-04,12.169171584349424,13.130989962111991,0.9618183777625688,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-02-04,4.54,-0.20999999999999996,0.3600000000000003,0.22797167031002363,0.216808178409023,-0.16650814251470947,-0.16143158213226627,0.0
2010-02-05,12.111529837565785,13.111070682402804,0.9995408448370212,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-02-05,4.25,-0.34999999999999964,-0.13999999999999968,-0.0620283296899764,-0.07319182159097704,-0.19553344137375117,-0.23198532967545316,0.0
2010-02-08,12.031450297912482,12.97016998819598,0.9387196902834968,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-02-08,4.28,-0.22999999999999954,0.0600000000000005,-0.032028329689976154,-0.04319182159097679,-0.13162310101266617,-0.33884414078750813,0.0
2010-02-09,12.047004887381018,12.95097105940155,0.9039661720205316,0.37,4.312028329689976,4.323191821590977,2010-01-10,92.65582,2010-01-15,2010-02-09,4.75,0.2400000000000002,0.34999999999999964,0.4379716703100236,0.42680817840902296,0.02708300645040218,-0.28088884945627335,0.0
2010-02-10,12.079069129618691,13.009673180768132,0.9306040511494408,0.75,4.59232538033707,6.292784490187153,2010-02-10,92.65582,2010-01-15,2010-02-10,4.58,0.2999999999999998,0.08000000000000007,-0.01232538033706998,-1.7127844901871532,-0.003752040970807613,-0.32450135658124435,0.0
2010-02-11,12.138441367298336,13.250220408645784,1.1117790413474484,0.75,4.59232538033707,6.292784490187153,2010-02-10,92.65582,2010-01-15,2010-02-11,4.49,-0.04999999999999982,-0.009999999999999787,-0.10232538033706984,-1.802784490187153,0.14996066358487958,-0.11311978215589136,0.0
2010-02-12,12.06988266354816,13.295801825134102,1.2259191615859422,0.75,4.59232538033707,6.292784490187153,2010-02-10,92.65582,2010-01-15,2010-02-12,4.5,0.25,-0.03000000000000025,-0.09232538033707005,-1.7927844901871532,0.22637831674892095,0.06281522571085496,0.0
2010-02-17,12.041009701523286,13.286761930215874,1.245752228692588,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-15,4.65,0.3700000000000001,0.1800000000000006,0.057674619662930304,-1.642784490187153,0.30703253840909117,0.2015579050591576,1.3845099999999917
2010-02-18,12.083090201882474,13.29205415971857,1.2089639578360956,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-18,4.27,-0.4800000000000004,-0.17000000000000082,-0.3223253803370705,-2.0227844901871537,0.3049977858155639,0.19060979326888017,1.3845099999999917
2010-02-19,12.063987408977162,13.291560654219348,1.2275732452421853,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-19,4.29,-0.29000000000000004,-0.2699999999999996,-0.30232538033707,-2.002784490187153,0.29696919409274447,0.13779543612169043,1.3845099999999917
2010-02-22,12.13494068039198,13.327986740497463,1.193046060105484,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-22,4.59,0.09999999999999964,0.08999999999999986,-0.002325380337070193,-1.7027844901871534,0.08126701875803555,0.1385143431026119,0.0
2010-02-23,12.1967928855778,13.191242155680571,0.9944492701027716,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-23,4.52,0.019999999999999574,0.1999999999999993,-0.07232538033707048,-1.7727844901871537,-0.23146989148317054,-0.1437793908705114,0.0
2010-02-24,12.258892784597508,13.314954934572064,1.0560621499745562,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-24,4.64,-0.010000000000000675,0.04999999999999982,0.04767461966292963,-1.6527844901871536,-0.18969007871803178,-0.05274640604249292,0.0
2010-02-25,12.289373278112636,13.222992683086687,0.9336194049740508,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-25,4.8,0.5300000000000002,0.2599999999999998,0.20767461966292977,-1.4927844901871534,-0.27534455286204473,-0.13416553939706877,0.0
2010-02-26,12.347416215486827,13.218934114299486,0.8715178988126588,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-02-26,4.92,0.6299999999999999,0.45999999999999996,0.3276746196629299,-1.3727844901871533,-0.3560553464295264,-0.28347105938042283,0.0
2010-03-01,12.309768386244048,13.175670849300246,0.8659024630561998,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-01,4.4,-0.1899999999999995,-0.34999999999999964,-0.1923253803370697,-1.892784490187153,-0.3271435970492842,-0.26382370102089325,0.0
2010-03-02,12.301709644495816,13.064079733362476,0.7623700888666587,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-02,4.69,0.17000000000000082,-0.05999999999999961,0.09767461966293034,-1.6027844901871529,-0.23207918123611293,-0.3659564314106196,0.0
2010-03-03,12.377592996411993,12.997268092901514,0.619675096489523,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-03,4.42,-0.21999999999999975,-0.17999999999999972,-0.17232538033707012,-1.8727844901871533,-0.43638705348503315,-0.5753991897212494,0.0
2010-03-04,12.374803259162048,12.956958928885289,0.5821556697232388,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-04,4.36,-0.4399999999999995,-0.14999999999999947,-0.23232538033706973,-1.932784490187153,-0.351463735250812,-0.4881871215729241,0.0
2010-03-05,12.33479069747714,12.962752569575088,0.6279618720979485,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-05,4.82,-0.09999999999999964,0.3100000000000005,0.22767461966293023,-1.472784490187153,-0.24355602671471033,-0.24892129347218095,0.0
2010-03-08,12.28818900402635,12.900723477257948,0.612534473231598,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-08,4.96,0.5599999999999996,0.6799999999999997,0.3676746196629299,-1.3327844901871533,-0.25336798982460174,-0.32182161888865035,0.0
2010-03-09,12.238643020552864,12.73119468848729,0.4925516679344266,0.75,4.59232538033707,6.292784490187153,2010-02-10,94.04033,2010-02-15,2010-03-09,4.44,-0.25,-0.09999999999999964,-0.15232538033706966,-1.8527844901871529,-0.2698184209322321,-0.4692667098281422,0.0
2010-03-10,12.322146940568812,12.674816518591348,0.3526695780225353,0.78,4.831571873002205,7.868175217852258,2010-03-10,94.04033,2010-02-15,2010-03-10,4.52,0.09999999999999964,0.2699999999999996,-0.31157187300220546,-3.3481752178522584,-0.2670055184669877,-0.6468712668144859,0.0
2010-03-11,12.412765475062848,12.69971104768397,0.2869455726211214,0.78,4.831571873002205,7.868175217852258,2010-03-10,94.04033,2010-02-15,2010-03-11,4.26,-0.10000000000000053,-0.020000000000000462,-0.5715718730022052,-3.608175217852258,-0.29521009710211743,-0.6517741176623754,0.0
